original_file,new_file,group,number,common_name,dap_type,rep,control_files,source
ampA29_1.bw,A_EIL3_ampDAP_rep1.bw,A,29,EIL3,ampDAP,1,ampA_N_1.bw,daplist
ampA26_2.bw,A_LAT61_ampDAP_rep2.bw,A,26,LAT61,ampDAP,2,ampA_N_2.bw,daplist
CN77-3.bw,CN_SlNAM4_DAP_rep3.bw,CN,77,SlNAM4,DAP,3,CN-N-3.bw,daplist
F109-1.bw,F_SlMYBL3_DAP_rep1.bw,F,109,SlMYBL3,DAP,1,F-N-1.bw,daplist
F60-1.bw,F_SlGT2_DAP_rep1.bw,F,60,SlGT2,DAP,1,F-N-1.bw,daplist
A2-1.bw,A_CZFP1_DAP_rep1.bw,A,2,CZFP1,DAP,1,A-N-1.bw,daplist
B39_3.bw,B_EIL2_DAP_rep3.bw,B,39,EIL2,DAP,3,B_N_3.bw,daplist
B43_2.bw,B_Sl-ERF_F_4_DAP_rep2.bw,B,43,Sl-ERF_F_4,DAP,2,B_N_2.bw,daplist
ampC78-1.bw,C_SlWRKY23_ampDAP_rep1.bw,C,78,SlWRKY23,ampDAP,1,ampC-N-1.bw,daplist
ampA2_3.bw,A_CZFP1_ampDAP_rep3.bw,A,2,CZFP1,ampDAP,3,ampA_N_3.bw,daplist
ampC77-2.bw,C_SlNAM4_ampDAP_rep2.bw,C,77,SlNAM4,ampDAP,2,ampC-N-2.bw,daplist
A16-2.bw,A_SlWRKY31_DAP_rep2.bw,A,16,SlWRKY31,DAP,2,A-N-2.bw,bpnet
A19-1.bw,A_SolycHsfB1_DAP_rep1.bw,A,19,SolycHsfB1,DAP,1,A-N-1.bw,daplist
ampD124-2.bw,D_SlERF5_ampDAP_rep2.bw,D,124,SlERF5,ampDAP,2,ampD-N-2.bw,daplist
ampA3_2.bw,A_SlZF2_ampDAP_rep2.bw,A,3,SlZF2,ampDAP,2,ampA_N_2.bw,daplist
A17-3.bw,A_CBF2_DAP_rep3.bw,A,17,CBF2,DAP,3,A-N-3.bw,daplist
B38_2.bw,B_SlHB1_DAP_rep2.bw,B,38,SlHB1,DAP,2,B_N_2.bw,daplist
B37_1.bw,B_SlGABL4_DAP_rep1.bw,B,37,SlGABL4,DAP,1,B_N_1.bw,daplist
ampB62_2.bw,B_SlWRKY7_ampDAP_rep2.bw,B,62,SlWRKY7,ampDAP,2,ampB_N_2.bw,daplist
